LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5546309080718258
Amygdala;DICE;STD;0.04970928034102156
Amygdala;HDRFDST;MEAN;12.347098696276777
Amygdala;HDRFDST;STD;1.3035159317784684
GreyMatter;DICE;MEAN;0.7258670407753198
GreyMatter;DICE;STD;0.00792755094954075
GreyMatter;HDRFDST;MEAN;2.0696880826391166
GreyMatter;HDRFDST;STD;0.12802828039779432
Hippocampus;DICE;MEAN;0.5442887655098667
Hippocampus;DICE;STD;0.021823215535955138
Hippocampus;HDRFDST;MEAN;12.69073638619435
Hippocampus;HDRFDST;STD;1.0465228024858089
Thalamus;DICE;MEAN;0.7493468055097025
Thalamus;DICE;STD;0.03127591516905028
Thalamus;HDRFDST;MEAN;14.46963607452501
Thalamus;HDRFDST;STD;1.1530966441735881
WhiteMatter;DICE;MEAN;0.8261644564776038
WhiteMatter;DICE;STD;0.01905630750977519
WhiteMatter;HDRFDST;MEAN;2.5358118582006117
WhiteMatter;HDRFDST;STD;0.3459164925370867
