SUBJECT;LABEL;DICE;HDRFDST;;Mean;Std
117122;Amygdala;0.494309892;13.60147051;;0.552712577;0.039424373
117122;GreyMatter;0.723516134;2;;0.725482955;0.007197876
117122;Hippocampus;0.570443949;13.92838828;;0.538968835;0.017298004
117122;Thalamus;0.776593247;14.35270009;;0.747342439;0.027387839
117122;WhiteMatter;0.817264715;3;;0.824975043;0.015560066
117122-PP;Amygdala;0.696213425;3;;0.727228531;0.033124984
117122-PP;GreyMatter;0.585243056;20.19900988;;0.602449632;0.014804234
117122-PP;Hippocampus;0.726380587;2.828427125;;0.71484991;0.022870426
117122-PP;Thalamus;0.853957876;3;;0.837536585;0.014274981
117122-PP;WhiteMatter;0.781998472;10.29563014;;0.797341073;0.011871997
118528;Amygdala;0.463200422;13.92838828;;;
118528;GreyMatter;0.721883182;2.236067977;;;
118528;Hippocampus;0.540459484;14.31782106;;;
118528;Thalamus;0.727798705;15.13274595;;;
118528;WhiteMatter;0.829136246;2.828427125;;;
118528-PP;Amygdala;0.676952485;3;;;
118528-PP;GreyMatter;0.607811434;17.49285568;;;
118528-PP;Hippocampus;0.694785049;3.464101615;;;
118528-PP;Thalamus;0.828426248;3;;;
118528-PP;WhiteMatter;0.79965241;8.602325267;;;
118730;Amygdala;0.570580297;11.66190379;;;
118730;GreyMatter;0.729920856;2;;;
118730;Hippocampus;0.502746836;11.40175425;;;
118730;Thalamus;0.723315836;15;;;
118730;WhiteMatter;0.815609073;2.236067977;;;
118730-PP;Amygdala;0.714005311;2.828427125;;;
118730-PP;GreyMatter;0.623139059;16.40121947;;;
118730-PP;Hippocampus;0.658251109;4.123105626;;;
118730-PP;Thalamus;0.819255268;3.605551275;;;
118730-PP;WhiteMatter;0.794101216;9.38083152;;;
118932;Amygdala;0.551737054;12.72792206;;;
118932;GreyMatter;0.733988484;2;;;
118932;Hippocampus;0.520447217;13.37908816;;;
118932;Thalamus;0.743086456;14.86606875;;;
118932;WhiteMatter;0.834858504;2.236067977;;;
118932-PP;Amygdala;0.73960896;2.236067977;;;
118932-PP;GreyMatter;0.631674985;14.89966443;;;
118932-PP;Hippocampus;0.704832282;3.16227766;;;
118932-PP;Thalamus;0.832119914;3;;;
118932-PP;WhiteMatter;0.808862131;8.062257748;;;
120111;Amygdala;0.520559631;9.486832981;;;
120111;GreyMatter;0.71837067;2;;;
120111;Hippocampus;0.518368089;11.91637529;;;
120111;Thalamus;0.695999348;15.93737745;;;
120111;WhiteMatter;0.848923496;2.236067977;;;
120111-PP;Amygdala;0.663968522;3.605551275;;;
120111-PP;GreyMatter;0.601846898;17.88854382;;;
120111-PP;Hippocampus;0.687179069;3.605551275;;;
120111-PP;Thalamus;0.817177078;3.16227766;;;
120111-PP;WhiteMatter;0.813423636;8.062257748;;;
122317;Amygdala;0.595815085;13.34166406;;;
122317;GreyMatter;0.735852442;2;;;
122317;Hippocampus;0.546582499;13.07669683;;;
122317;Thalamus;0.763974109;14.03566885;;;
122317;WhiteMatter;0.835499329;2.828427125;;;
122317-PP;Amygdala;0.743010341;2.236067977;;;
122317-PP;GreyMatter;0.587403182;20.83266666;;;
122317-PP;Hippocampus;0.750206697;2.236067977;;;
122317-PP;Thalamus;0.855834454;2.449489743;;;
122317-PP;WhiteMatter;0.799759094;9;;;
122620;Amygdala;0.60180213;13.15294644;;;
122620;GreyMatter;0.738159417;2.236067977;;;
122620;Hippocampus;0.556609347;14.2126704;;;
122620;Thalamus;0.762203963;12.52996409;;;
122620;WhiteMatter;0.807591583;2.828427125;;;
122620-PP;Amygdala;0.71937799;3;;;
122620-PP;GreyMatter;0.611492724;19.02629759;;;
122620-PP;Hippocampus;0.735355561;2.828427125;;;
122620-PP;Thalamus;0.832976283;3;;;
122620-PP;WhiteMatter;0.785930541;9.899494937;;;
123117;Amygdala;0.536634022;13.07669683;;;
123117;GreyMatter;0.722317768;2.449489743;;;
123117;Hippocampus;0.530757193;13;;;
123117;Thalamus;0.709572653;16.79285562;;;
123117;WhiteMatter;0.846568627;3;;;
123117-PP;Amygdala;0.766565012;2;;;
123117-PP;GreyMatter;0.612151127;17.34935157;;;
123117-PP;Hippocampus;0.715606936;3;;;
123117-PP;Thalamus;0.823889814;3;;;
123117-PP;WhiteMatter;0.819680743;7.874007874;;;
123925;Amygdala;0.552883276;11.5758369;;;
123925;GreyMatter;0.71697843;2;;;
123925;Hippocampus;0.536034819;13.41640786;;;
123925;Thalamus;0.774969763;14.24780685;;;
123925;WhiteMatter;0.832664385;3;;;
123925-PP;Amygdala;0.75561392;2.236067977;;;
123925-PP;GreyMatter;0.592024397;19.92485885;;;
123925-PP;Hippocampus;0.725218841;2.828427125;;;
123925-PP;Thalamus;0.852071296;3.16227766;;;
123925-PP;WhiteMatter;0.80202841;8.124038405;;;
124422;Amygdala;0.63960396;11.5758369;;;
124422;GreyMatter;0.713842165;2;;;
124422;Hippocampus;0.567238913;11.87434209;;;
124422;Thalamus;0.795910306;14.56021978;;;
124422;WhiteMatter;0.781634468;3;;;
124422-PP;Amygdala;0.796969338;2.236067977;;;
124422-PP;GreyMatter;0.571709455;22.6715681;;;
124422-PP;Hippocampus;0.750682968;3;;;
124422-PP;Thalamus;0.859657623;2.236067977;;;
124422-PP;WhiteMatter;0.767974075;10.24695077;;;
