LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6399705537477267
Amygdala;DICE;STD;0.0981019422337553
Amygdala;HDRFDST;MEAN;7.525387453298862
Amygdala;HDRFDST;STD;4.981821321337417
GreyMatter;DICE;MEAN;0.663966293299533
GreyMatter;DICE;STD;0.0630058743003417
GreyMatter;HDRFDST;MEAN;10.380383086683366
GreyMatter;HDRFDST;STD;8.431942064180582
Hippocampus;DICE;MEAN;0.6269093722808725
Hippocampus;DICE;STD;0.0912839588116898
Hippocampus;HDRFDST;MEAN;8.07999648769306
Hippocampus;HDRFDST;STD;5.031267907681702
Thalamus;DICE;MEAN;0.7924395119283931
Thalamus;DICE;STD;0.05126562541463865
Thalamus;HDRFDST;MEAN;8.853553587179146
Thalamus;HDRFDST;STD;5.946813338162489
WhiteMatter;DICE;MEAN;0.8111580578420943
WhiteMatter;DICE;STD;0.02194624794025953
WhiteMatter;HDRFDST;MEAN;5.837063985611527
WhiteMatter;HDRFDST;STD;3.1904049943348674
