LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5945017675962834
Amygdala;DICE;STD;0.06281769137455673
Amygdala;HDRFDST;MEAN;11.238594847253726
Amygdala;HDRFDST;STD;1.7303138037020938
GreyMatter;DICE;MEAN;0.7121351381229498
GreyMatter;DICE;STD;0.015307897775628581
GreyMatter;HDRFDST;MEAN;2.783495643818193
GreyMatter;HDRFDST;STD;0.7430693109294342
Hippocampus;DICE;MEAN;0.5857895314912607
Hippocampus;DICE;STD;0.054078116190502075
Hippocampus;HDRFDST;MEAN;8.911855530454408
Hippocampus;HDRFDST;STD;4.216495109010462
Thalamus;DICE;MEAN;0.7677962659593123
Thalamus;DICE;STD;0.037250157694515174
Thalamus;HDRFDST;MEAN;9.740675397902576
Thalamus;HDRFDST;STD;5.115588215708479
WhiteMatter;DICE;MEAN;0.8295537056215242
WhiteMatter;DICE;STD;0.01745300972415314
WhiteMatter;HDRFDST;MEAN;2.710607989085541
WhiteMatter;HDRFDST;STD;0.32031910574556494
