LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5566235710823981
Amygdala;DICE;STD;0.049703696047304374
Amygdala;HDRFDST;MEAN;12.274641923875118
Amygdala;HDRFDST;STD;1.2973687373477776
GreyMatter;DICE;MEAN;0.7216748002428506
GreyMatter;DICE;STD;0.008609385169229244
GreyMatter;HDRFDST;MEAN;2.1843251395565515
GreyMatter;HDRFDST;STD;0.16948063223050533
Hippocampus;DICE;MEAN;0.5492245199526404
Hippocampus;DICE;STD;0.024733907690898838
Hippocampus;HDRFDST;MEAN;12.136123878162218
Hippocampus;HDRFDST;STD;1.3836535743822849
Thalamus;DICE;MEAN;0.7508824792186362
Thalamus;DICE;STD;0.03176963449284316
Thalamus;HDRFDST;MEAN;13.639798922958297
Thalamus;HDRFDST;STD;2.3357836674798627
WhiteMatter;DICE;MEAN;0.8273350431812899
WhiteMatter;DICE;STD;0.019010384781218102
WhiteMatter;HDRFDST;MEAN;2.3580802045903306
WhiteMatter;HDRFDST;STD;0.4352674450487033
