LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6423942003322847
Amygdala;DICE;STD;0.0999353049176021
Amygdala;HDRFDST;MEAN;7.450007317351689
Amygdala;HDRFDST;STD;5.0593864224238
GreyMatter;DICE;MEAN;0.522731849424179
GreyMatter;DICE;STD;0.20519858725445642
GreyMatter;HDRFDST;MEAN;20.53445583617677
GreyMatter;HDRFDST;STD;19.17383956102965
Hippocampus;DICE;MEAN;0.6251846798029941
Hippocampus;DICE;STD;0.09069212904426698
Hippocampus;HDRFDST;MEAN;8.289591769427863
Hippocampus;HDRFDST;STD;4.881871392840438
Thalamus;DICE;MEAN;0.7964322538202504
Thalamus;DICE;STD;0.05606006543656088
Thalamus;HDRFDST;MEAN;8.698004852872145
Thalamus;HDRFDST;STD;6.102844548193293
WhiteMatter;DICE;MEAN;0.801997892534885
WhiteMatter;DICE;STD;0.02796371805083949
WhiteMatter;HDRFDST;MEAN;5.3683006475459125
WhiteMatter;HDRFDST;STD;2.698397331298364
