LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6294709378331219
Amygdala;DICE;STD;0.08962461676897823
Amygdala;HDRFDST;MEAN;8.11803814477196
Amygdala;HDRFDST;STD;4.460656530156459
GreyMatter;DICE;MEAN;0.685583467046954
GreyMatter;DICE;STD;0.04149772926886521
GreyMatter;HDRFDST;MEAN;5.111871375484926
GreyMatter;HDRFDST;STD;3.2815805704717746
Hippocampus;DICE;MEAN;0.6128844685169194
Hippocampus;DICE;STD;0.07804829044544037
Hippocampus;HDRFDST;MEAN;8.417329061860213
Hippocampus;HDRFDST;STD;4.700911769472328
Thalamus;DICE;MEAN;0.7804741159403623
Thalamus;DICE;STD;0.045519439804612004
Thalamus;HDRFDST;MEAN;9.297811777044455
Thalamus;HDRFDST;STD;5.5317895981909375
WhiteMatter;DICE;MEAN;0.827591554900652
WhiteMatter;DICE;STD;0.01680920716137455
WhiteMatter;HDRFDST;MEAN;3.1287182216671505
WhiteMatter;HDRFDST;STD;0.5110012616500507
