LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5715261851999779
Amygdala;DICE;STD;0.0469019486694654
Amygdala;HDRFDST;MEAN;10.959512259457712
Amygdala;HDRFDST;STD;1.5115966287768083
GreyMatter;DICE;MEAN;0.7024097611876933
GreyMatter;DICE;STD;0.014650763268934202
GreyMatter;HDRFDST;MEAN;3.418750603835711
GreyMatter;HDRFDST;STD;0.6919616863957356
Hippocampus;DICE;MEAN;0.6066917590306636
Hippocampus;DICE;STD;0.0858906205374034
Hippocampus;HDRFDST;MEAN;9.688739530092414
Hippocampus;HDRFDST;STD;4.0879896833722515
Thalamus;DICE;MEAN;0.7764455322059668
Thalamus;DICE;STD;0.04357210731161737
Thalamus;HDRFDST;MEAN;11.34486145458043
Thalamus;HDRFDST;STD;8.032638747201437
WhiteMatter;DICE;MEAN;0.8369888251453345
WhiteMatter;DICE;STD;0.014696547214842
WhiteMatter;HDRFDST;MEAN;2.435510926078781
WhiteMatter;HDRFDST;STD;0.2985294998558956
