LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5944925504404248
Amygdala;DICE;STD;0.06628450243581431
Amygdala;HDRFDST;MEAN;11.148484333595729
Amygdala;HDRFDST;STD;2.0883718690814055
GreyMatter;DICE;MEAN;0.7211092265580337
GreyMatter;DICE;STD;0.012366476322299022
GreyMatter;HDRFDST;MEAN;2.7999179563761087
GreyMatter;HDRFDST;STD;0.9541799817448656
Hippocampus;DICE;MEAN;0.6069363353071365
Hippocampus;DICE;STD;0.09565249469746619
Hippocampus;HDRFDST;MEAN;8.73003391928104
Hippocampus;HDRFDST;STD;4.403011215997814
Thalamus;DICE;MEAN;0.7808570708748954
Thalamus;DICE;STD;0.0369395845354546
Thalamus;HDRFDST;MEAN;8.670043673812229
Thalamus;HDRFDST;STD;4.937645460559976
WhiteMatter;DICE;MEAN;0.8333716239615805
WhiteMatter;DICE;STD;0.01080985807105067
WhiteMatter;HDRFDST;MEAN;2.5268788064046817
WhiteMatter;HDRFDST;STD;0.3389446824230384
