Amygdala;Amygdala-PP;GreyMatter;GreyMatter-PP;Hippocampus;Hippocampus-PP;Thalamus;Thalamus-PP;WhiteMatter;WhiteMatter-PP
0.532187449;0.615705615;0.724060293;0.704470703;0.484128646;0.588766852;0.728398766;0.772244599;0.81272948;0.828853695
0.581783583;0.666055606;0.715869666;0.696187471;0.545981746;0.673515513;0.764493103;0.815534486;0.840961308;0.848382259
0.564384566;0.687841302;0.720120171;0.695440393;0.53786631;0.683428662;0.762185456;0.812243625;0.845421631;0.852148207
0.56004828;0.679393361;0.720889858;0.697836143;0.542473136;0.70408251;0.794496873;0.860006982;0.818984699;0.833490793
0.548559232;0.663133989;0.712137351;0.685384292;0.595014406;0.729569497;0.751512131;0.810784266;0.78749503;0.811492652
0.514653324;0.633452869;0.736571296;0.716302566;0.594414169;0.734171854;0.790535032;0.843174952;0.839269727;0.849007083
0.510214864;0.62383353;0.711870507;0.691125395;0.54253481;0.684012002;0.757469288;0.816192501;0.839252104;0.850176041
0.547831736;0.647429069;0.711084906;0.692031243;0.443112337;0.580826627;0.735650497;0.779013173;0.861534563;0.866023276
0.507789318;0.622282;0.728781776;0.713293925;0.583366103;0.720739053;0.77957726;0.82174095;0.824647428;0.839504079
0.535128909;0.648771022;0.72674022;0.708174709;0.537684343;0.687394145;0.736709883;0.795235559;0.819660293;0.839993296
