Amygdala;Amygdala-PP;GreyMatter;GreyMatter-PP;Hippocampus;Hippocampus-PP;Thalamus;Thalamus-PP;WhiteMatter;WhiteMatter-PP
0.546850998;0.659533272;0.731864084;0.714947018;0.590903292;0.71603697;0.740209645;0.791821823;0.831490505;0.842855882
0.519368991;0.553162236;0.728636569;0.701799764;0.384361476;0.468689832;0.719671678;0.781035124;0.829859309;0.846401255
0.503110675;0.629355226;0.728692659;0.71358168;0.577847095;0.693222182;0.732390929;0.780533601;0.8404741;0.853092282
0.526614383;0.633702927;0.702116645;0.676877273;0.556888088;0.660221716;0.7732358;0.836996681;0.861107032;0.862555574
0.579772463;0.671968191;0.736128468;0.715268429;0.553376084;0.682962733;0.761762847;0.806530848;0.824988914;0.839272131
0.493924098;0.625043926;0.722814749;0.698136493;0.542244891;0.663709612;0.763843435;0.817880405;0.830242664;0.849649366
0.523787782;0.631887838;0.725144551;0.708882661;0.551677376;0.679944234;0.788946873;0.840430873;0.832640579;0.848363708
0.492129389;0.588223033;0.728584991;0.715002549;0.550489303;0.659090062;0.74568721;0.789053235;0.843879699;0.857172239
0.564076519;0.653187251;0.718016654;0.697591311;0.507911631;0.619009174;0.746304885;0.796350043;0.835012099;0.847886949
0.569860465;0.694780505;0.728678589;0.717932036;0.578057135;0.713923386;0.795646857;0.847226279;0.812473312;0.835607002
