LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.467781318;;
Amygdala;DICE;STD;0.05401296;;0.598684246
Amygdala;HDRFDST;MEAN;21.43655889;;15.01647387
Amygdala;HDRFDST;STD;1.214060558;;
GreyMatter;DICE;MEAN;0.711345354;;
GreyMatter;DICE;STD;0.008577015;;
GreyMatter;HDRFDST;MEAN;2.992568861;;
GreyMatter;HDRFDST;STD;0.586968153;;
Hippocampus;DICE;MEAN;0.356913855;;
Hippocampus;DICE;STD;0.012550364;;
Hippocampus;HDRFDST;MEAN;20.13836224;;
Hippocampus;HDRFDST;STD;0.588528836;;
Thalamus;DICE;MEAN;0.6402288;;
Thalamus;DICE;STD;0.025201855;;
Thalamus;HDRFDST;MEAN;27.33829196;;
Thalamus;HDRFDST;STD;5.622970074;;
WhiteMatter;DICE;MEAN;0.817151902;;
WhiteMatter;DICE;STD;0.019246325;;
WhiteMatter;HDRFDST;MEAN;3.176587402;;
WhiteMatter;HDRFDST;STD;0.330594128;;
