LABEL;METRIC;STATISTIC;VALUE;;
Amygdala;DICE;MEAN;0.468803534;;
Amygdala;DICE;STD;0.051636509;;0.618315119
Amygdala;HDRFDST;MEAN;18.43169813;;10.62143896
Amygdala;HDRFDST;STD;1.368394693;;
GreyMatter;DICE;MEAN;0.710767177;;
GreyMatter;DICE;STD;0.008290065;;
GreyMatter;HDRFDST;MEAN;3.323205739;;
GreyMatter;HDRFDST;STD;0.675502491;;
Hippocampus;DICE;MEAN;0.376791081;;
Hippocampus;DICE;STD;0.013489736;;
Hippocampus;HDRFDST;MEAN;19.58399731;;
Hippocampus;HDRFDST;STD;0.408716668;;
Thalamus;DICE;MEAN;0.715159422;;
Thalamus;DICE;STD;0.027623883;;
Thalamus;HDRFDST;MEAN;9.065496649;;
Thalamus;HDRFDST;STD;1.103073211;;
WhiteMatter;DICE;MEAN;0.820054383;;
WhiteMatter;DICE;STD;0.018776734;;
WhiteMatter;HDRFDST;MEAN;2.702796969;;
WhiteMatter;HDRFDST;STD;0.308039842;;
