LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.6675957466695835
GreyMatter;DICE;STD;0.008499869149905916
GreyMatter;HDRFDST;MEAN;6.308503123240214
GreyMatter;HDRFDST;STD;0.7763944513380273
Hippocampus;DICE;MEAN;0.16006403971076125
Hippocampus;DICE;STD;0.008591025901402347
Hippocampus;HDRFDST;MEAN;33.32656039403202
Hippocampus;HDRFDST;STD;1.1577444894865574
Thalamus;DICE;MEAN;0.23390228282003478
Thalamus;DICE;STD;0.013200276998722107
Thalamus;HDRFDST;MEAN;43.101231218697116
Thalamus;HDRFDST;STD;1.1330787406044738
WhiteMatter;DICE;MEAN;0.7982902179168263
WhiteMatter;DICE;STD;0.019278130242698983
WhiteMatter;HDRFDST;MEAN;9.005504218627399
WhiteMatter;HDRFDST;STD;0.02989595765511
