LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6285315552480661
Amygdala;DICE;STD;0.08880253810516295
Amygdala;HDRFDST;MEAN;9.164022371438952
Amygdala;HDRFDST;STD;3.757751185984297
GreyMatter;DICE;MEAN;0.65174358450413
GreyMatter;DICE;STD;0.07461081626851153
GreyMatter;HDRFDST;MEAN;10.992496750440475
GreyMatter;HDRFDST;STD;9.000834138653795
Hippocampus;DICE;MEAN;0.6267518398396253
Hippocampus;DICE;STD;0.09018870385175504
Hippocampus;HDRFDST;MEAN;8.709510671983137
Hippocampus;HDRFDST;STD;4.403910064319188
Thalamus;DICE;MEAN;0.7799540792744464
Thalamus;DICE;STD;0.044993806101088045
Thalamus;HDRFDST;MEAN;9.483271545662346
Thalamus;HDRFDST;STD;5.34953837178788
WhiteMatter;DICE;MEAN;0.8217222644057036
WhiteMatter;DICE;STD;0.015644851486161432
WhiteMatter;HDRFDST;MEAN;3.399743262501835
WhiteMatter;HDRFDST;STD;0.7692501212696566
