LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6154267334287634
Amygdala;DICE;STD;0.07838367897517663
Amygdala;HDRFDST;MEAN;7.693237168041359
Amygdala;HDRFDST;STD;4.823287455280573
GreyMatter;DICE;MEAN;0.6683723644369003
GreyMatter;DICE;STD;0.059406194059978205
GreyMatter;HDRFDST;MEAN;9.360968868521223
GreyMatter;HDRFDST;STD;7.682594733719622
Hippocampus;DICE;MEAN;0.6257556712416256
Hippocampus;DICE;STD;0.08900205040819559
Hippocampus;HDRFDST;MEAN;8.450422758837602
Hippocampus;HDRFDST;STD;4.7739245068307765
Thalamus;DICE;MEAN;0.7881700471385549
Thalamus;DICE;STD;0.05006418795636851
Thalamus;HDRFDST;MEAN;9.026519975864515
Thalamus;HDRFDST;STD;5.785493680345598
WhiteMatter;DICE;MEAN;0.812698473977479
WhiteMatter;DICE;STD;0.021084275618499643
WhiteMatter;HDRFDST;MEAN;5.194917783004107
WhiteMatter;HDRFDST;STD;2.704224330159704
