LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5945447881854444
Amygdala;DICE;STD;0.06297089277550522
Amygdala;HDRFDST;MEAN;9.231104799088703
Amygdala;HDRFDST;STD;2.2694361748852763
GreyMatter;DICE;MEAN;0.7154085731796136
GreyMatter;DICE;STD;0.015850282740781395
GreyMatter;HDRFDST;MEAN;2.9657236403447977
GreyMatter;HDRFDST;STD;0.8659895118040111
Hippocampus;DICE;MEAN;0.5974524191076576
Hippocampus;DICE;STD;0.09013856198341878
Hippocampus;HDRFDST;MEAN;8.882638701717742
Hippocampus;HDRFDST;STD;3.7909704519388425
Thalamus;DICE;MEAN;0.7741693131729588
Thalamus;DICE;STD;0.033770755478602935
Thalamus;HDRFDST;MEAN;9.309884830782776
Thalamus;HDRFDST;STD;5.2361200834654165
WhiteMatter;DICE;MEAN;0.8382833268914914
WhiteMatter;DICE;STD;0.01261838846045764
WhiteMatter;HDRFDST;MEAN;2.472808858377054
WhiteMatter;HDRFDST;STD;0.33539391348784886
