SUBJECT;LABEL;DICE;HDRFDST;;;Amygdala;Amygdala-PP;GreyMatter;GreyMatter-PP;Hippocampus;Hippocampus-PP;Thalamus;Thalamus-PP;WhiteMatter;WhiteMatter-PP
106016;Amygdala;0.532187449;8.602325267;;;0.532187449;0.615705615;0.724060293;0.704470703;0.484128646;0.588766852;0.728398766;0.772244599;0.81272948;0.828853695
106016;GreyMatter;0.724060293;2;;;0.581783583;0.666055606;0.715869666;0.696187471;0.545981746;0.673515513;0.764493103;0.815534486;0.840961308;0.848382259
106016;Hippocampus;0.484128646;12.4498996;;;0.564384566;0.687841302;0.720120171;0.695440393;0.53786631;0.683428662;0.762185456;0.812243625;0.845421631;0.852148207
106016;Thalamus;0.728398766;13.92838828;;;0.56004828;0.679393361;0.720889858;0.697836143;0.542473136;0.70408251;0.794496873;0.860006982;0.818984699;0.833490793
106016;WhiteMatter;0.81272948;2.236067977;;;0.548559232;0.663133989;0.712137351;0.685384292;0.595014406;0.729569497;0.751512131;0.810784266;0.78749503;0.811492652
106016-PP;Amygdala;0.615705615;7.348469228;;;0.514653324;0.633452869;0.736571296;0.716302566;0.594414169;0.734171854;0.790535032;0.843174952;0.839269727;0.849007083
106016-PP;GreyMatter;0.704470703;3.16227766;;;0.510214864;0.62383353;0.711870507;0.691125395;0.54253481;0.684012002;0.757469288;0.816192501;0.839252104;0.850176041
106016-PP;Hippocampus;0.588766852;5.830951895;;;0.547831736;0.647429069;0.711084906;0.692031243;0.443112337;0.580826627;0.735650497;0.779013173;0.861534563;0.866023276
106016-PP;Thalamus;0.772244599;4.242640687;;;0.507789318;0.622282;0.728781776;0.713293925;0.583366103;0.720739053;0.77957726;0.82174095;0.824647428;0.839504079
106016-PP;WhiteMatter;0.828853695;2.236067977;;;0.535128909;0.648771022;0.72674022;0.708174709;0.537684343;0.687394145;0.736709883;0.795235559;0.819660293;0.839993296
108828;Amygdala;0.581783583;11.78982612;;;;;;;;;;;;
108828;GreyMatter;0.715869666;2;;;0.540258126;0.648789836;0.720812604;0.700024684;0.540657601;0.678650671;0.760102829;0.812617109;0.828995626;0.841907138
108828;Hippocampus;0.545981746;15.13274595;;;;;;;;;;;;
108828;Thalamus;0.764493103;12.88409873;;;;;;;;;;;;
108828;WhiteMatter;0.840961308;2.236067977;;;;;;;;;;;;
108828-PP;Amygdala;0.666055606;9.695359715;;;;;;;;;;;;
108828-PP;GreyMatter;0.696187471;3.16227766;;;;;;;;;;;;
108828-PP;Hippocampus;0.673515513;4.242640687;;;;;;;;;;;;
108828-PP;Thalamus;0.815534486;5.099019514;;;;;;;;;;;;
108828-PP;WhiteMatter;0.848382259;2.236067977;;;;;;;;;;;;
110411;Amygdala;0.564384566;11.04536102;;;;;;;;;;;;
110411;GreyMatter;0.720120171;2.236067977;;;;;;;;;;;;
110411;Hippocampus;0.53786631;14.45683229;;;;;;;;;;;;
110411;Thalamus;0.762185456;14.59451952;;;;;;;;;;;;
110411;WhiteMatter;0.845421631;2.236067977;;;;;;;;;;;;
110411-PP;Amygdala;0.687841302;9.16515139;;;;;;;;;;;;
110411-PP;GreyMatter;0.695440393;4.123105626;;;;;;;;;;;;
110411-PP;Hippocampus;0.683428662;4.69041576;;;;;;;;;;;;
110411-PP;Thalamus;0.812243625;4.358898944;;;;;;;;;;;;
110411-PP;WhiteMatter;0.852148207;2.236067977;;;;;;;;;;;;
111312;Amygdala;0.56004828;10.81665383;;;;;;;;;;;;
111312;GreyMatter;0.720889858;2;;;;;;;;;;;;
111312;Hippocampus;0.542473136;12.88409873;;;;;;;;;;;;
111312;Thalamus;0.794496873;12.80624847;;;;;;;;;;;;
111312;WhiteMatter;0.818984699;2.449489743;;;;;;;;;;;;
111312-PP;Amygdala;0.679393361;8.306623863;;;;;;;;;;;;
111312-PP;GreyMatter;0.697836143;4.123105626;;;;;;;;;;;;
111312-PP;Hippocampus;0.70408251;4.358898944;;;;;;;;;;;;
111312-PP;Thalamus;0.860006982;4.582575695;;;;;;;;;;;;
111312-PP;WhiteMatter;0.833490793;2.236067977;;;;;;;;;;;;
111716;Amygdala;0.548559232;13.03840481;;;;;;;;;;;;
111716;GreyMatter;0.712137351;2;;;;;;;;;;;;
111716;Hippocampus;0.595014406;13.89244399;;;;;;;;;;;;
111716;Thalamus;0.751512131;12.4498996;;;;;;;;;;;;
111716;WhiteMatter;0.78749503;2.828427125;;;;;;;;;;;;
111716-PP;Amygdala;0.663133989;9.949874371;;;;;;;;;;;;
111716-PP;GreyMatter;0.685384292;5;;;;;;;;;;;;
111716-PP;Hippocampus;0.729569497;4.358898944;;;;;;;;;;;;
111716-PP;Thalamus;0.810784266;4.123105626;;;;;;;;;;;;
111716-PP;WhiteMatter;0.811492652;2.449489743;;;;;;;;;;;;
113619;Amygdala;0.514653324;13.03840481;;;;;;;;;;;;
113619;GreyMatter;0.736571296;1.732050808;;;;;;;;;;;;
