LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6313773009943288
Amygdala;DICE;STD;0.09093912652618412
Amygdala;HDRFDST;MEAN;7.832993561895487
Amygdala;HDRFDST;STD;4.684464949095454
GreyMatter;DICE;MEAN;0.6706302446752532
GreyMatter;DICE;STD;0.056164640658763844
GreyMatter;HDRFDST;MEAN;8.61953356594698
GreyMatter;HDRFDST;STD;6.764143782143704
Hippocampus;DICE;MEAN;0.6246684790729268
Hippocampus;DICE;STD;0.08880336240773899
Hippocampus;HDRFDST;MEAN;8.31289272510499
Hippocampus;HDRFDST;STD;4.805810497813718
Thalamus;DICE;MEAN;0.7805970697013479
Thalamus;DICE;STD;0.04536957639384721
Thalamus;HDRFDST;MEAN;9.314730279722257
Thalamus;HDRFDST;STD;5.507794460219563
WhiteMatter;DICE;MEAN;0.8230637900727983
WhiteMatter;DICE;STD;0.016348939914024314
WhiteMatter;HDRFDST;MEAN;4.199835729508355
WhiteMatter;HDRFDST;STD;1.5366781852896254
