SUBJECT,LABEL,DICE,HDRFDST,Dice,Mean,Std,HDRFDST,Mean,Std
117122,Amygdala,0.494309892,13.60147051,Amygdala,0.552712577,0.052550072,Amygdala,12.41294988,1.34109217
117122,GreyMatter,0.723516134,2,GreyMatter,0.725482955,0.008469046,GreyMatter,2.09216257,0.159359069
117122,Hippocampus,0.570443949,13.92838828,Hippocampus,0.538968835,0.021900714,Hippocampus,13.05235442,1.019827887
117122,Thalamus,0.776593247,14.35270009,Thalamus,0.747342439,0.032515316,Thalamus,14.74554074,1.139701815
117122,WhiteMatter,0.817264715,3,WhiteMatter,0.824975043,0.020145187,WhiteMatter,2.719348531,0.34179846
117122-PP,Amygdala,0.718658417,2.828427125,Amygdala-PP,0.732075824,0.039485358,Amygdala-PP,2.487064759,0.591146611
117122-PP,GreyMatter,0.29034041,52.17278984,GreyMatter-PP,0.319980744,0.046336291,GreyMatter-PP,38.9767491,7.818285504
117122-PP,Hippocampus,0.689698335,3.605551275,Hippocampus-PP,0.711400525,0.035778694,Hippocampus-PP,3.526829116,1.229939648
117122-PP,Thalamus,0.847035097,2.828427125,Thalamus-PP,0.845522069,0.023905386,Thalamus-PP,2.650468963,0.440976538
117122-PP,WhiteMatter,0.77557099,8.94427191,WhiteMatter-PP,0.779020742,0.012596053,WhiteMatter-PP,8.017252764,0.686098561
118528,Amygdala,0.463200422,13.92838828,,,,,,
118528,GreyMatter,0.721883182,2.236067977,,,,,,
118528,Hippocampus,0.540459484,14.31782106,,,,,,
118528,Thalamus,0.727798705,15.13274595,,,,,,
118528,WhiteMatter,0.829136246,2.828427125,,,,,,
118528-PP,Amygdala,0.665074627,3,,,,,,
118528-PP,GreyMatter,0.360251012,34.45286635,,,,,,
118528-PP,Hippocampus,0.72028683,2.828427125,,,,,,
118528-PP,Thalamus,0.837200963,2.828427125,,,,,,
118528-PP,WhiteMatter,0.783020418,7.615773106,,,,,,
118730,Amygdala,0.570580297,11.66190379,,,,,,
118730,GreyMatter,0.729920856,2,,,,,,
