LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5733135461853744
Amygdala;DICE;STD;0.05468211378117051
Amygdala;HDRFDST;MEAN;11.987959726273875
Amygdala;HDRFDST;STD;1.3924157429573978
GreyMatter;DICE;MEAN;0.7306446588678719
GreyMatter;DICE;STD;0.009454853329014738
GreyMatter;HDRFDST;MEAN;1.9021290781206441
GreyMatter;HDRFDST;STD;0.2861904438794326
Hippocampus;DICE;MEAN;0.5639279394644955
Hippocampus;DICE;STD;0.033072267708980134
Hippocampus;HDRFDST;MEAN;12.08133390045808
Hippocampus;HDRFDST;STD;1.4287656160624667
Thalamus;DICE;MEAN;0.7596736877727988
Thalamus;DICE;STD;0.033376892622034256
Thalamus;HDRFDST;MEAN;13.828370552636068
Thalamus;HDRFDST;STD;1.739588416547909
WhiteMatter;DICE;MEAN;0.830743265292897
WhiteMatter;DICE;STD;0.019126499628209594
WhiteMatter;HDRFDST;MEAN;2.3832810630868755
WhiteMatter;HDRFDST;STD;0.41227584737829415
