LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5850426566543439
Amygdala;DICE;STD;0.05966806944047926
Amygdala;HDRFDST;MEAN;11.604554466060538
Amygdala;HDRFDST;STD;1.5441229368914897
GreyMatter;DICE;MEAN;0.7306193877553044
GreyMatter;DICE;STD;0.00945721476083325
GreyMatter;HDRFDST;MEAN;1.960707721883335
GreyMatter;HDRFDST;STD;0.23585001451571339
Hippocampus;DICE;MEAN;0.574639334887355
Hippocampus;DICE;STD;0.04157375810877586
Hippocampus;HDRFDST;MEAN;11.526193565962592
Hippocampus;HDRFDST;STD;1.9096758573021064
Thalamus;DICE;MEAN;0.7697764510237777
Thalamus;DICE;STD;0.03728648136482725
Thalamus;HDRFDST;MEAN;10.908365555502083
Thalamus;HDRFDST;STD;4.371219613281367
WhiteMatter;DICE;MEAN;0.8333677865722781
WhiteMatter;DICE;STD;0.019678338942723257
WhiteMatter;HDRFDST;MEAN;2.1998301963086146
WhiteMatter;HDRFDST;STD;0.6006222668273314
